Date	Price	Open	High	Low	Volume	Chg%
Feb 25, 2020	54.070	54.111	54.176	53.894	74.52K	-0.04%
Feb 24, 2020	54.091	54.255	54.315	54.023	60.62K	-0.43%
Feb 21, 2020	54.328	54.059	54.469	54.023	61.81K	0.51%
Feb 20, 2020	54.050	54.156	54.269	53.984	63.20K	-0.18%
Feb 19, 2020	54.145	53.978	54.177	53.971	49.51K	0.32%
Feb 18, 2020	53.974	53.911	54.028	53.815	47.43K	0.17%
Feb 17, 2020	53.883	53.982	54.045	53.859	30.01K	-0.16%
Feb 14, 2020	53.970	53.761	54.032	53.751	48.83K	0.40%
Feb 13, 2020	53.753	53.820	53.964	53.723	63.10K	-0.09%
Feb 12, 2020	53.804	53.654	53.880	53.603	57.15K	0.29%
Feb 11, 2020	53.646	53.533	53.673	53.506	57.45K	0.23%
Feb 10, 2020	53.521	53.757	53.811	53.485	56.09K	-0.35%
Feb 07, 2020	53.711	53.617	53.830	53.566	65.54K	0.19%
Feb 06, 2020	53.612	53.603	53.687	53.504	62.66K	0.04%
Feb 05, 2020	53.591	53.567	53.716	53.484	64.48K	0.05%
Feb 04, 2020	53.567	53.684	53.699	53.489	65.71K	-0.20%
Feb 03, 2020	53.673	54.036	54.118	53.609	56.75K	-0.69%
Jan 31, 2020	54.046	54.176	54.249	53.881	70.88K	-0.21%
Jan 30, 2020	54.160	54.025	54.254	53.996	61.00K	0.27%
Jan 29, 2020	54.015	54.122	54.157	53.986	59.47K	-0.18%
Jan 28, 2020	54.112	54.153	54.207	53.971	63.13K	-0.05%
Jan 27, 2020	54.138	54.266	54.341	54.121	60.03K	-0.22%
Jan 24, 2020	54.256	54.388	54.412	54.206	54.13K	-0.23%
Jan 23, 2020	54.384	54.123	54.435	54.004	53.60K	0.53%
Jan 22, 2020	54.095	54.465	54.578	54.058	64.34K	-0.64%
Jan 21, 2020	54.441	54.453	54.551	54.385	54.24K	0.02%
Jan 20, 2020	54.429	54.415	54.470	54.345	43.03K	0.04%
Jan 17, 2020	54.406	54.422	54.543	54.352	56.51K	0.02%
Jan 16, 2020	54.395	54.237	54.472	54.204	55.36K	0.34%
Jan 15, 2020	54.213	54.241	54.363	54.115	58.75K	-0.03%
Jan 14, 2020	54.229	54.159	54.353	54.124	59.89K	0.15%
Jan 13, 2020	54.147	54.371	54.388	54.136	46.46K	-0.38%
Jan 10, 2020	54.355	54.542	54.569	54.189	64.31K	-0.34%
Jan 09, 2020	54.539	54.843	54.914	54.305	65.59K	-0.54%
Jan 08, 2020	54.836	55.240	55.544	54.818	78.89K	-0.72%
Jan 07, 2020	55.236	55.444	55.464	55.162	62.80K	-0.33%
Jan 06, 2020	55.421	55.276	55.598	55.244	54.00K	0.42%
Jan 03, 2020	55.187	54.969	55.355	54.882	74.36K	0.44%
Jan 02, 2020	54.944	54.847	55.021	54.837	50.66K	0.19%
Jan 01, 2020	54.841	54.939	54.975	54.786	3.02K	-0.18%
Dec 31, 2019	54.940	54.568	55.116	54.563	58.08K	0.68%
Dec 30, 2019	54.568	54.621	54.674	54.537	51.94K	-0.09%
Dec 27, 2019	54.618	54.324	54.743	54.312	54.56K	0.56%
Dec 26, 2019	54.316	54.150	54.423	54.141	29.41K	0.30%
Dec 25, 2019	54.152	54.142	54.207	54.117	1.69K	0.04%
Dec 24, 2019	54.132	54.168	54.208	54.070	53.19K	-0.06%
Dec 23, 2019	54.164	54.046	54.230	53.997	43.44K	0.25%
Dec 20, 2019	54.030	54.226	54.257	53.935	56.31K	-0.33%
Dec 19, 2019	54.208	54.149	54.303	54.023	51.43K	0.16%
Dec 18, 2019	54.121	53.978	54.197	53.903	53.32K	0.29%
Dec 17, 2019	53.966	53.911	54.063	53.749	54.28K	0.11%
Dec 16, 2019	53.908	53.755	54.151	53.688	48.40K	0.28%
Dec 13, 2019	53.755	53.519	53.882	53.513	69.60K	0.45%
Dec 12, 2019	53.511	53.672	53.848	53.491	55.19K	-0.28%
Dec 11, 2019	53.662	53.518	53.758	53.452	49.39K	0.27%
Dec 10, 2019	53.519	53.615	53.690	53.484	46.62K	-0.13%
Dec 09, 2019	53.591	53.774	53.809	53.557	38.44K	-0.30%
Dec 06, 2019	53.751	54.098	54.233	53.687	45.71K	-0.56%
Dec 05, 2019	54.054	54.143	54.352	54.011	51.80K	-0.14%
Dec 04, 2019	54.132	53.958	54.188	53.811	54.54K	0.36%
Dec 03, 2019	53.940	53.826	53.984	53.767	51.81K	0.23%
Dec 02, 2019	53.817	54.032	54.075	53.812	42.83K	-0.39%
Nov 29, 2019	54.030	53.836	54.111	53.804	45.40K	0.36%
Nov 28, 2019	53.836	53.656	53.909	53.598	44.24K	0.36%
Nov 27, 2019	53.644	53.858	53.886	53.599	52.58K	-0.37%
Nov 26, 2019	53.842	53.906	53.926	53.679	55.10K	-0.10%
Nov 25, 2019	53.894	53.964	54.015	53.827	44.00K	-0.13%
Nov 22, 2019	53.966	54.004	54.127	53.938	56.83K	-0.06%
Nov 21, 2019	53.997	53.936	54.086	53.836	63.14K	0.13%
